MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1096385	Bcan	brevican	3		extracellular matrix			IBA	PTN001105676 	J:265628 	
MGI:1096385	Bcan	brevican	3		extracellular matrix	adjacent to a CNS neuron (sensu Vertebrata)		IDA		J:146166 	
MGI:1096385	Bcan	brevican	3		perineuronal net			ISO	RGD:2194 	J:155856 	
MGI:1096385	Bcan	brevican	3		perisynaptic extracellular matrix			ISO	RGD:2194 	J:155856 	
MGI:88158	Bgn	biglycan	X		collagen-containing extracellular matrix	is a part of lung|is a part of colon		HDA		J:265604 	
MGI:88158	Bgn	biglycan	X		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:88158	Bgn	biglycan	X		extracellular matrix	is a part of upper arm muscle,is a part of cell of skeletal muscle		IDA		J:113292 	
MGI:88158	Bgn	biglycan	X		extracellular matrix			IDA		J:214169 	
MGI:88176	Bmp1	bone morphogenetic protein 1	14		collagen-containing extracellular matrix	is a part of islets of Langerhans		HDA		J:265607 	
MGI:103302	Bmp7	bone morphogenetic protein 7	2		collagen-containing extracellular matrix			ISO	RGD:620743 	J:155856 	
MGI:1920480	Bmper	BMP-binding endothelial regulator	9		collagen-containing extracellular matrix	is a part of lung		HDA		J:265604 	
MGI:1920480	Bmper	BMP-binding endothelial regulator	9		extracellular matrix			IBA	PTN000885756 	J:265628 	
MGI:88252	Calr	calreticulin	8		collagen-containing extracellular matrix			ISO	RGD:620288 	J:155856 	
MGI:1309489	Cask	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	X	colocalizes_with	basement membrane			IDA		J:139951 	
MGI:1309489	Cask	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	X		basement membrane			IDA		J:139951 	
MGI:1309489	Cask	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	X	colocalizes_with	basement membrane			ISO	O14936 	J:164563 	
MGI:1309489	Cask	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	X		basement membrane			ISO	O14936 	J:164563 	
MGI:2445053	Ccbe1	collagen and calcium binding EGF domains 1	18		extracellular matrix			ISO	Q6UXH8 	J:186594 	
MGI:1915146	Ccdc80	coiled-coil domain containing 80	16		basement membrane			IDA		J:139122 	
MGI:1915146	Ccdc80	coiled-coil domain containing 80	16		extracellular matrix			IDA		J:139122 	
